jhave@jhave-Ubuntu:~$ cd Documents/
jhave@jhave-Ubuntu:~/Documents$ cd Github/gpt-2-finetuning/
jhave@jhave-Ubuntu:~/Documents/Github/gpt-2-finetuning$ source activate tf1p13_gpt-2
(tf1p13_gpt-2) jhave@jhave-Ubuntu:~/Documents/Github/gpt-2-finetuning$ PYTHONPATH=src ./encode.py --in_text ALL+tmblr.txt --out_npz ALL+tmblr.txt.npz
Reading files
0it [00:00, ?it/s]
Writing ALL+tmblr.txt.npz
(tf1p13_gpt-2) jhave@jhave-Ubuntu:~/Documents/Github/gpt-2-finetuning$ cat March-2018_SOURCES/* > ALL_tmblr.txt
cat: 'March-2018_SOURCES/*': No such file or directory
(tf1p13_gpt-2) jhave@jhave-Ubuntu:~/Documents/Github/gpt-2-finetuning$ cat DATA/March-2018_SOURCES/* > ALL_tmblr.txt
(tf1p13_gpt-2) jhave@jhave-Ubuntu:~/Documents/Github/gpt-2-finetuning$ PYTHONPATH=src ./encode.py --in_text ALL_tmblr.txt --out_npz ALL_tmblr.txt.npz
Reading files
100%|█████████████████████████████████████████████| 1/1 [00:29<00:00, 29.26s/it]
(tf1p13_gpt-2) jhave@jhave-Ubuntu:~/Documents/Github/gpt-2-finetuning$ PYTHONPATH=src ./train.py --dataset ALL_tmblr.txt.npz --batch_size 1 --save_every 10000 --sample_every 1000nts/Github/gpt-2-finetuning$ PYTHONPATH=src ./train.py --dataset ALL_tmblr.txt.npz --batch_siz2019-05-06 19:03:09.346869: I tensorflow/core/platform/cpu_feature_guard.cc:141] Your CPU supports instructions that this TensorFlow binary was not compiled to use: SSE4.1 SSE4.2 AVX AVX2 FMA
2019-05-06 19:03:09.384428: I tensorflow/core/platform/profile_utils/cpu_utils.cc:94] CPU Frequency: 3408000000 Hz
2019-05-06 19:03:09.385802: I tensorflow/compiler/xla/service/service.cc:150] XLA service 0x555bed5021d0 executing computations on platform Host. Devices:
2019-05-06 19:03:09.385902: I tensorflow/compiler/xla/service/service.cc:158]   StreamExecutor device (0): <undefined>, <undefined>
2019-05-06 19:03:09.490179: I tensorflow/stream_executor/cuda/cuda_gpu_executor.cc:998] successful NUMA node read from SysFS had negative value (-1), but there must be at least one NUMA node, so returning NUMA node zero
2019-05-06 19:03:09.491347: I tensorflow/compiler/xla/service/service.cc:150] XLA service 0x555bee2cd520 executing computations on platform CUDA. Devices:
2019-05-06 19:03:09.491379: I tensorflow/compiler/xla/service/service.cc:158]   StreamExecutor device (0): GeForce GTX TITAN X, Compute Capability 5.2
2019-05-06 19:03:09.492080: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1433] Found device 0 with properties: 
name: GeForce GTX TITAN X major: 5 minor: 2 memoryClockRate(GHz): 1.076
pciBusID: 0000:01:00.0
totalMemory: 11.92GiB freeMemory: 11.65GiB
2019-05-06 19:03:09.492106: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1512] Adding visible gpu devices: 0
2019-05-06 19:03:09.494371: I tensorflow/core/common_runtime/gpu/gpu_device.cc:984] Device interconnect StreamExecutor with strength 1 edge matrix:
2019-05-06 19:03:09.494400: I tensorflow/core/common_runtime/gpu/gpu_device.cc:990]      0 
2019-05-06 19:03:09.494410: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1003] 0:   N 
2019-05-06 19:03:09.495072: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1115] Created TensorFlow device (/job:localhost/replica:0/task:0/device:GPU:0 with 11333 MB memory) -> physical GPU (device: 0, name: GeForce GTX TITAN X, pci bus id: 0000:01:00.0, compute capability: 5.2)
WARNING:tensorflow:From /home/jhave/anaconda3/envs/tf1p13_gpt-2/lib/python3.6/site-packages/tensorflow/python/framework/op_def_library.py:263: colocate_with (from tensorflow.python.framework.ops) is deprecated and will be removed in a future version.
Instructions for updating:
Colocations handled automatically by placer.
WARNING:tensorflow:From /home/jhave/Documents/Github/gpt-2-finetuning/src/sample.py:51: to_float (from tensorflow.python.ops.math_ops) is deprecated and will be removed in a future version.
Instructions for updating:
Use tf.cast instead.
WARNING:tensorflow:From /home/jhave/Documents/Github/gpt-2-finetuning/src/sample.py:53: multinomial (from tensorflow.python.ops.random_ops) is deprecated and will be removed in a future version.
Instructions for updating:
Use tf.random.categorical instead.
WARNING:tensorflow:From /home/jhave/anaconda3/envs/tf1p13_gpt-2/lib/python3.6/site-packages/tensorflow/python/ops/math_ops.py:3066: to_int32 (from tensorflow.python.ops.math_ops) is deprecated and will be removed in a future version.
Instructions for updating:
Use tf.cast instead.
WARNING:tensorflow:From /home/jhave/anaconda3/envs/tf1p13_gpt-2/lib/python3.6/site-packages/tensorflow/python/ops/math_grad.py:102: div (from tensorflow.python.ops.math_ops) is deprecated and will be removed in a future version.
Instructions for updating:
Deprecated in favor of operator or tf.math.divide.
Loading checkpoint checkpoint/run1/model-20302
WARNING:tensorflow:From /home/jhave/anaconda3/envs/tf1p13_gpt-2/lib/python3.6/site-packages/tensorflow/python/training/saver.py:1266: checkpoint_exists (from tensorflow.python.training.checkpoint_management) is deprecated and will be removed in a future version.
Instructions for updating:
Use standard file APIs to check for files with this prefix.
Loading dataset...
100%|█████████████████████████████████████████████████████████████████████████████████████████████████████| 1/1 [00:00<00:00,  5.48it/s]
dataset has 7806061 tokens
Training...
2019-05-06 19:03:43.906984: I tensorflow/stream_executor/dso_loader.cc:152] successfully opened CUDA library libcublas.so.10.0 locally
[20303 | 7.52] loss=5.30 avg=5.30
[24641 | 6776.06] loss=3.43 avg=2.05
[24642 | 6777.60] loss=0.23 avg=2.03
[24643 | 6779.14] loss=1.36 avg=2.02
[24644 | 6780.68] loss=1.74 avg=2.02
[24645 | 6782.22] loss=3.44 avg=2.03
[24646 | 6783.77] loss=0.42 avg=2.02
[24647 | 6785.32] loss=3.75 avg=2.04
[24648 | 6786.86] loss=2.07 avg=2.04
[24649 | 6788.40] loss=3.24 avg=2.05
[24650 | 6789.95] loss=3.14 avg=2.06
[24651 | 6791.49] loss=3.21 avg=2.07
[24652 | 6793.04] loss=0.27 avg=2.05
[24653 | 6794.59] loss=0.26 avg=2.03
[24654 | 6796.13] loss=0.27 avg=2.02
[24655 | 6797.68] loss=2.50 avg=2.02
[24656 | 6799.22] loss=1.80 avg=2.02
[24657 | 6800.76] loss=0.36 avg=2.00
[24658 | 6802.31] loss=1.17 avg=1.99
[24659 | 6803.85] loss=2.31 avg=2.00
[24660 | 6805.39] loss=2.74 avg=2.01
[24661 | 6806.94] loss=1.55 avg=2.00
[24662 | 6808.48] loss=0.66 avg=1.99
[24663 | 6810.03] loss=2.64 avg=1.99
[24664 | 6811.58] loss=3.84 avg=2.01
[24665 | 6813.12] loss=0.38 avg=2.00
[24666 | 6814.67] loss=2.67 avg=2.00
[24667 | 6816.20] loss=0.31 avg=1.99
[24668 | 6817.75] loss=0.10 avg=1.97
[24669 | 6819.29] loss=2.56 avg=1.97
[24670 | 6820.84] loss=0.25 avg=1.96
[24671 | 6822.37] loss=3.11 avg=1.97
[24672 | 6823.91] loss=1.74 avg=1.97
[24673 | 6825.46] loss=0.49 avg=1.95
[24674 | 6827.00] loss=0.91 avg=1.94
[24675 | 6828.55] loss=0.73 avg=1.93
[24676 | 6830.10] loss=3.01 avg=1.94
[24677 | 6831.64] loss=3.91 avg=1.96
[24678 | 6833.19] loss=4.49 avg=1.98
[24679 | 6834.73] loss=0.07 avg=1.96
[24680 | 6836.27] loss=3.82 avg=1.98
[24681 | 6837.81] loss=3.49 avg=2.00
[24682 | 6839.35] loss=3.21 avg=2.01
[24683 | 6840.90] loss=1.47 avg=2.01
[24684 | 6842.45] loss=3.72 avg=2.02
[24685 | 6843.99] loss=0.31 avg=2.01
[24686 | 6845.54] loss=3.96 avg=2.02
[24687 | 6847.08] loss=3.30 avg=2.04
[24688 | 6848.63] loss=2.32 avg=2.04
[24689 | 6850.17] loss=3.69 avg=2.06
[24690 | 6851.72] loss=3.04 avg=2.07
[24691 | 6853.26] loss=1.36 avg=2.06
[24692 | 6854.80] loss=0.92 avg=2.05
[24693 | 6856.35] loss=3.65 avg=2.06
[24694 | 6857.89] loss=3.57 avg=2.08
[24695 | 6859.43] loss=2.91 avg=2.09
[24696 | 6860.98] loss=2.98 avg=2.10
[24697 | 6862.53] loss=1.29 avg=2.09
[24698 | 6864.07] loss=1.10 avg=2.08
[24699 | 6865.63] loss=0.54 avg=2.06
[24700 | 6867.17] loss=1.33 avg=2.06
[24701 | 6868.71] loss=1.16 avg=2.05
[24702 | 6870.25] loss=3.23 avg=2.06
[24703 | 6871.80] loss=1.43 avg=2.05
[24704 | 6873.35] loss=2.81 avg=2.06
[24705 | 6874.89] loss=0.96 avg=2.05
[24706 | 6876.43] loss=0.17 avg=2.03
[24707 | 6877.98] loss=0.18 avg=2.01
[24708 | 6879.52] loss=3.14 avg=2.02
[24709 | 6881.07] loss=3.84 avg=2.04
[24710 | 6882.61] loss=4.24 avg=2.06
[24711 | 6884.15] loss=1.23 avg=2.05
[24712 | 6885.70] loss=2.29 avg=2.06
[24713 | 6887.24] loss=3.12 avg=2.07
[24714 | 6888.79] loss=0.63 avg=2.05
[24715 | 6890.33] loss=1.67 avg=2.05
[24716 | 6891.87] loss=0.91 avg=2.04
[24717 | 6893.42] loss=0.72 avg=2.02
[24718 | 6894.96] loss=3.62 avg=2.04
[24719 | 6896.50] loss=0.39 avg=2.02
[24720 | 6898.05] loss=0.68 avg=2.01
[24721 | 6899.59] loss=0.24 avg=1.99
[24722 | 6901.14] loss=2.41 avg=2.00
[24723 | 6902.68] loss=0.75 avg=1.98
[24724 | 6904.22] loss=0.28 avg=1.97
[24725 | 6905.76] loss=1.28 avg=1.96
[24726 | 6907.30] loss=3.97 avg=1.98
[24727 | 6908.85] loss=0.75 avg=1.97
[24728 | 6910.39] loss=4.12 avg=1.99
[24729 | 6911.94] loss=2.44 avg=1.99
[24730 | 6913.48] loss=2.98 avg=2.00
[24731 | 6915.03] loss=0.78 avg=1.99
[24732 | 6916.57] loss=3.12 avg=2.00
[24733 | 6918.11] loss=0.23 avg=1.99
[24734 | 6919.66] loss=3.62 avg=2.00
[24735 | 6921.20] loss=3.75 avg=2.02
[24736 | 6922.75] loss=2.75 avg=2.03
[24737 | 6924.29] loss=3.11 avg=2.04
[24738 | 6925.83] loss=3.29 avg=2.05
[24739 | 6927.37] loss=0.40 avg=2.03
[24740 | 6928.92] loss=1.91 avg=2.03
[24741 | 6930.46] loss=1.63 avg=2.03
[24742 | 6932.00] loss=1.80 avg=2.03
[24743 | 6933.55] loss=3.78 avg=2.04
[24744 | 6935.09] loss=3.14 avg=2.05
[24745 | 6936.63] loss=2.74 avg=2.06
[24746 | 6938.18] loss=0.81 avg=2.05
[24747 | 6939.72] loss=0.44 avg=2.03
[24748 | 6941.27] loss=0.44 avg=2.02
[24749 | 6942.81] loss=0.45 avg=2.00
[24750 | 6944.35] loss=0.57 avg=1.99
[24751 | 6945.90] loss=3.12 avg=2.00
[24752 | 6947.44] loss=3.18 avg=2.01
[24753 | 6948.99] loss=1.77 avg=2.01
[24754 | 6950.53] loss=0.24 avg=1.99
[24755 | 6952.07] loss=0.90 avg=1.98
[24756 | 6953.62] loss=3.81 avg=2.00
[24757 | 6955.16] loss=1.86 avg=2.00
[24758 | 6956.71] loss=2.67 avg=2.00
[24759 | 6958.25] loss=2.00 avg=2.00
[24760 | 6959.80] loss=0.69 avg=1.99
[24761 | 6961.35] loss=2.31 avg=1.99
[24762 | 6962.89] loss=1.71 avg=1.99
[24763 | 6964.43] loss=2.63 avg=2.00
[24764 | 6965.98] loss=3.29 avg=2.01
[24765 | 6967.52] loss=1.95 avg=2.01
[24766 | 6969.07] loss=0.62 avg=1.99
[24767 | 6970.62] loss=1.24 avg=1.99
[24768 | 6972.16] loss=1.97 avg=1.99
[24769 | 6973.71] loss=0.24 avg=1.97
[24770 | 6975.25] loss=0.82 avg=1.96
[24771 | 6976.80] loss=4.00 avg=1.98
[24772 | 6978.34] loss=2.68 avg=1.99
[24773 | 6979.89] loss=1.52 avg=1.98
[24774 | 6981.44] loss=0.49 avg=1.97
[24775 | 6982.98] loss=3.84 avg=1.98
[24776 | 6984.53] loss=3.10 avg=2.00
[24777 | 6986.07] loss=2.62 avg=2.00
[24778 | 6987.62] loss=3.46 avg=2.02
[24779 | 6989.17] loss=4.76 avg=2.04
[24780 | 6990.71] loss=3.36 avg=2.06
[24781 | 6992.26] loss=3.66 avg=2.07
[24782 | 6993.80] loss=2.16 avg=2.07
[24783 | 6995.35] loss=1.35 avg=2.07
[24784 | 6996.89] loss=1.11 avg=2.06
[24785 | 6998.43] loss=2.16 avg=2.06
[24786 | 6999.98] loss=1.11 avg=2.05
[24787 | 7001.53] loss=0.89 avg=2.04
[24788 | 7003.07] loss=2.77 avg=2.04
[24789 | 7004.61] loss=0.18 avg=2.03
[24790 | 7006.16] loss=0.61 avg=2.01
[24791 | 7007.70] loss=3.86 avg=2.03
[24792 | 7009.24] loss=0.12 avg=2.01
[24793 | 7010.79] loss=3.47 avg=2.03
[24794 | 7012.33] loss=0.81 avg=2.01
[24795 | 7013.88] loss=1.00 avg=2.00
[24796 | 7015.42] loss=0.26 avg=1.99
[24797 | 7016.96] loss=0.45 avg=1.97
[24798 | 7018.51] loss=2.11 avg=1.97
[24799 | 7020.06] loss=0.24 avg=1.95
[24800 | 7021.60] loss=1.58 avg=1.95
[24801 | 7023.14] loss=2.16 avg=1.95
[24802 | 7024.69] loss=3.24 avg=1.97
[24803 | 7026.23] loss=3.49 avg=1.98
[24804 | 7027.78] loss=0.72 avg=1.97
[24805 | 7029.31] loss=1.42 avg=1.96
[24806 | 7030.85] loss=0.57 avg=1.95
[24807 | 7032.40] loss=1.53 avg=1.94
[24808 | 7033.94] loss=0.22 avg=1.93
[24809 | 7035.48] loss=1.31 avg=1.92
[24810 | 7037.03] loss=1.50 avg=1.92
[24811 | 7038.57] loss=0.30 avg=1.90
[24812 | 7040.12] loss=1.13 avg=1.89
[24813 | 7041.66] loss=1.11 avg=1.89
[24814 | 7043.20] loss=0.81 avg=1.87
[24815 | 7044.74] loss=0.31 avg=1.86
[24816 | 7046.29] loss=1.70 avg=1.86
[24817 | 7047.83] loss=2.88 avg=1.87
[24818 | 7049.38] loss=2.27 avg=1.87
[24819 | 7050.92] loss=2.21 avg=1.88
[24820 | 7052.46] loss=1.83 avg=1.87
[24821 | 7054.01] loss=2.63 avg=1.88
[24822 | 7055.56] loss=0.30 avg=1.87
[24823 | 7057.10] loss=1.66 avg=1.86
[24824 | 7058.65] loss=1.14 avg=1.86
[24825 | 7060.19] loss=1.62 avg=1.85
[24826 | 7061.73] loss=4.20 avg=1.88
[24827 | 7063.28] loss=1.54 avg=1.87
[24828 | 7064.82] loss=4.23 avg=1.90
[24829 | 7066.36] loss=2.97 avg=1.91
[24830 | 7067.91] loss=0.21 avg=1.89
[24831 | 7069.45] loss=2.27 avg=1.90
[24832 | 7071.00] loss=3.84 avg=1.92
[24833 | 7072.54] loss=3.58 avg=1.93
[24834 | 7074.08] loss=0.44 avg=1.92
[24835 | 7075.62] loss=3.36 avg=1.93
[24836 | 7077.16] loss=4.94 avg=1.96
[24837 | 7078.71] loss=3.52 avg=1.98
[24838 | 7080.25] loss=0.44 avg=1.96
[24839 | 7081.80] loss=3.52 avg=1.98
[24840 | 7083.35] loss=0.51 avg=1.96
[24841 | 7084.89] loss=2.12 avg=1.96
[24842 | 7086.44] loss=2.46 avg=1.97
[24843 | 7087.99] loss=2.24 avg=1.97
[24844 | 7089.53] loss=3.34 avg=1.99
[24845 | 7091.07] loss=3.86 avg=2.00
[24846 | 7092.61] loss=0.72 avg=1.99
[24847 | 7094.16] loss=3.67 avg=2.01
[24848 | 7095.71] loss=2.08 avg=2.01
[24849 | 7097.26] loss=3.81 avg=2.03
[24850 | 7098.81] loss=0.22 avg=2.01
[24851 | 7100.36] loss=1.49 avg=2.00
[24852 | 7101.90] loss=0.28 avg=1.99
[24853 | 7103.45] loss=3.56 avg=2.00
[24854 | 7104.99] loss=0.22 avg=1.98
[24855 | 7106.54] loss=0.19 avg=1.97
[24856 | 7108.08] loss=3.17 avg=1.98
[24857 | 7109.62] loss=3.82 avg=2.00
[24858 | 7111.17] loss=2.95 avg=2.01
[24859 | 7112.71] loss=3.42 avg=2.02
[24860 | 7114.26] loss=0.54 avg=2.01
[24861 | 7115.80] loss=2.22 avg=2.01
[24862 | 7117.35] loss=1.87 avg=2.01
[24863 | 7118.90] loss=3.46 avg=2.02
[24864 | 7120.44] loss=2.16 avg=2.02
[24865 | 7121.98] loss=1.07 avg=2.01
[24866 | 7123.53] loss=0.50 avg=2.00
[24867 | 7125.07] loss=0.90 avg=1.99
[24868 | 7126.61] loss=0.49 avg=1.97
[24869 | 7128.15] loss=1.06 avg=1.96
[24870 | 7129.70] loss=2.46 avg=1.97
[24871 | 7131.24] loss=3.48 avg=1.98
[24872 | 7132.79] loss=3.44 avg=2.00
[24873 | 7134.33] loss=0.10 avg=1.98
[24874 | 7135.87] loss=0.12 avg=1.96
[24875 | 7137.42] loss=3.16 avg=1.97
[24876 | 7138.96] loss=3.56 avg=1.99
[24877 | 7140.51] loss=0.57 avg=1.97
[24878 | 7142.06] loss=0.46 avg=1.96
[24879 | 7143.60] loss=0.60 avg=1.95
[24880 | 7145.14] loss=3.20 avg=1.96
[24881 | 7146.69] loss=0.77 avg=1.95
[24882 | 7148.23] loss=3.64 avg=1.96
[24883 | 7149.77] loss=0.99 avg=1.95
[24884 | 7151.31] loss=3.79 avg=1.97
[24885 | 7152.86] loss=4.35 avg=2.00
[24886 | 7154.41] loss=3.65 avg=2.01
[24887 | 7155.96] loss=3.78 avg=2.03
[24888 | 7157.50] loss=0.33 avg=2.01
[24889 | 7159.04] loss=0.42 avg=2.00
[24890 | 7160.58] loss=1.87 avg=2.00
[24891 | 7162.12] loss=2.95 avg=2.00
[24892 | 7163.67] loss=0.52 avg=1.99
[24893 | 7165.22] loss=1.72 avg=1.99
[24894 | 7166.77] loss=1.73 avg=1.98
[24895 | 7168.31] loss=3.55 avg=2.00
[24896 | 7169.85] loss=0.28 avg=1.98
[24897 | 7171.38] loss=1.22 avg=1.98
[24898 | 7172.93] loss=1.47 avg=1.97
[24899 | 7174.47] loss=0.78 avg=1.96
[24900 | 7176.02] loss=0.45 avg=1.94
[24901 | 7177.57] loss=3.88 avg=1.96
[24902 | 7179.12] loss=1.53 avg=1.96
[24903 | 7180.66] loss=3.91 avg=1.98
[24904 | 7182.21] loss=0.16 avg=1.96
[24905 | 7183.76] loss=3.50 avg=1.98
[24906 | 7185.30] loss=3.80 avg=1.99
[24907 | 7186.84] loss=0.76 avg=1.98
[24908 | 7188.37] loss=0.30 avg=1.96
[24909 | 7189.92] loss=3.90 avg=1.98
[24910 | 7191.46] loss=4.39 avg=2.01
[24911 | 7193.00] loss=3.76 avg=2.03
[24912 | 7194.54] loss=3.05 avg=2.04
[24913 | 7196.09] loss=2.22 avg=2.04
[24914 | 7197.63] loss=3.41 avg=2.05
[24915 | 7199.18] loss=0.98 avg=2.04
[24916 | 7200.72] loss=1.61 avg=2.04
[24917 | 7202.26] loss=3.40 avg=2.05
[24918 | 7203.81] loss=0.54 avg=2.03
[24919 | 7205.35] loss=0.21 avg=2.02
[24920 | 7206.90] loss=2.69 avg=2.02
[24921 | 7208.44] loss=3.99 avg=2.04
[24922 | 7209.98] loss=0.47 avg=2.03
[24923 | 7211.52] loss=3.53 avg=2.04
[24924 | 7213.06] loss=3.11 avg=2.05
[24925 | 7214.60] loss=0.61 avg=2.04
[24926 | 7216.15] loss=3.21 avg=2.05
[24927 | 7217.69] loss=1.97 avg=2.05
[24928 | 7219.23] loss=1.32 avg=2.04
[24929 | 7220.77] loss=0.87 avg=2.03
[24930 | 7222.32] loss=0.20 avg=2.01
[24931 | 7223.87] loss=3.55 avg=2.03
[24932 | 7225.41] loss=0.45 avg=2.01
[24933 | 7226.96] loss=1.31 avg=2.00
[24934 | 7228.50] loss=1.18 avg=2.00
[24935 | 7230.05] loss=0.21 avg=1.98
[24936 | 7231.59] loss=3.07 avg=1.99
[24937 | 7233.13] loss=2.67 avg=2.00
[24938 | 7234.68] loss=2.30 avg=2.00
[24939 | 7236.22] loss=0.30 avg=1.98
[24940 | 7237.77] loss=2.63 avg=1.99
[24941 | 7239.32] loss=0.78 avg=1.98
[24942 | 7240.86] loss=0.42 avg=1.96
[24943 | 7242.40] loss=2.89 avg=1.97
[24944 | 7243.95] loss=0.45 avg=1.96
[24945 | 7245.49] loss=1.78 avg=1.95
[24946 | 7247.03] loss=0.80 avg=1.94
[24947 | 7248.57] loss=3.70 avg=1.96
[24948 | 7250.12] loss=3.26 avg=1.97
[24949 | 7251.66] loss=3.84 avg=1.99
[24950 | 7253.20] loss=3.76 avg=2.01
[24951 | 7254.74] loss=0.67 avg=2.00
[24952 | 7256.28] loss=1.19 avg=1.99
[24953 | 7257.82] loss=0.25 avg=1.97
[24954 | 7259.36] loss=2.12 avg=1.97
[24955 | 7260.91] loss=3.71 avg=1.99
[24956 | 7262.46] loss=0.15 avg=1.97
[24957 | 7264.00] loss=1.07 avg=1.96
[24958 | 7265.54] loss=0.32 avg=1.95
[24959 | 7267.09] loss=3.43 avg=1.96
[24960 | 7268.63] loss=3.30 avg=1.97
[24961 | 7270.18] loss=0.70 avg=1.96
[24962 | 7271.72] loss=2.70 avg=1.97
[24963 | 7273.27] loss=2.77 avg=1.98
[24964 | 7274.81] loss=2.83 avg=1.98
[24965 | 7276.35] loss=3.58 avg=2.00
[24966 | 7277.90] loss=3.24 avg=2.01
[24967 | 7279.44] loss=3.70 avg=2.03
[24968 | 7280.99] loss=2.07 avg=2.03
[24969 | 7282.54] loss=2.57 avg=2.04
[24970 | 7284.08] loss=1.71 avg=2.03
[24971 | 7285.62] loss=0.65 avg=2.02
[24972 | 7287.17] loss=3.16 avg=2.03
[24973 | 7288.72] loss=0.91 avg=2.02
[24974 | 7290.26] loss=3.31 avg=2.03
[24975 | 7291.81] loss=2.91 avg=2.04
[24976 | 7293.35] loss=0.35 avg=2.02
[24977 | 7294.89] loss=3.53 avg=2.04
[24978 | 7296.43] loss=4.44 avg=2.06
[24979 | 7297.97] loss=0.31 avg=2.05
[24980 | 7299.52] loss=0.25 avg=2.03
[24981 | 7301.06] loss=3.19 avg=2.04
[24982 | 7302.61] loss=2.08 avg=2.04
[24983 | 7304.15] loss=1.17 avg=2.03
[24984 | 7305.69] loss=0.51 avg=2.02
[24985 | 7307.24] loss=2.45 avg=2.02
[24986 | 7308.78] loss=2.57 avg=2.02
[24987 | 7310.33] loss=2.78 avg=2.03
[24988 | 7311.87] loss=0.86 avg=2.02
[24989 | 7313.41] loss=1.86 avg=2.02
[24990 | 7314.96] loss=2.90 avg=2.03
[24991 | 7316.50] loss=0.20 avg=2.01
[24992 | 7318.04] loss=1.90 avg=2.01
[24993 | 7319.59] loss=1.15 avg=2.00
[24994 | 7321.13] loss=3.41 avg=2.01
[24995 | 7322.67] loss=3.31 avg=2.03
[24996 | 7324.22] loss=3.57 avg=2.04
[24997 | 7325.77] loss=2.48 avg=2.05
[24998 | 7327.31] loss=2.13 avg=2.05
[24999 | 7328.85] loss=4.24 avg=2.07
Generating samples...
======== SAMPLE 1 ========
.

the bird sits before the mouse, and his little daughter,
at their cozy window, contemplates 
the mouse's old skiffs and the way their small red noses
happen to be noses with small brown apples, in
the long, vacant house they must have come from somewhere. 

and though it has been long time since that first sunny day, 
and in fact, the days before and after all kind through all 
their lives, the mouse must sit down and lie back against the window 
with his old face of wiggling, his mother's face of worry. 

it is no good sleeping, the mouse, when he finds it 
his knees start coiling around his shoulders like little weeds 
all the time growing, and all it takes is a glance through
the garden to see a bus or a streetcar.



when i would move the house was that it would move for me and i found that
even on a couch it would sometimes sit like a paper bag's and sometimes i tried
to put it away by covering its corners, or laying a new cloth in its places or in its
walls, but it always had a few inches of skin left to make me uncomfortable.
one night i sat there in mid-air and held my breath for so many years and the first
one has always held down a new and hard apple, and when i got around low and still
it was the color of the sky, and it was there, as it was that i discovered the moon was real, and this
was the year that i found out it could come and sit and wait there all night, and always with me.

it's the one that got around, and now i have to call it what i originally thought was an imaginary
breath, and the house began to move when i first touched it, the paper bag and the one
without the heart have always been there, and while this last one cannot wake me, it makes me
go in every day and make it the one thing they can't leave me alone, and also they cannot make me
go in and they couldn't, when everyone moves, go in and they have to tell me to get



what a piece of my life the little fox, the shadow, the shadow, the shadow, 
is a small brick with a red fox painted on the end which never came in the box 
of the clay, the fox is in the front yard at this time of the year 



when i come back from the river 
now that i have some money 
a man buys a pig with pear's and apple cobs 
and a little box of sunflower seeds 
and i say a little roger will never sleep here, 
he doesn't want one of those little foxes 



i am a man 

i stand upon the corner 
looking over the leaf 

i say that each 

is a large red 
bird with a tail 
that lifts 

and drops upon the gravel 

i say i have a daughter 
whose name i do not like 
and she lived here when i was twenty-five 
her face is bent, her 

belly filled with nothing 
and i say we should 

go home and tell all the men what
is their daughter's voice saying? 
the wind is beating the canels 

it is a brown bird is flying 
with a black feather on 
which only one tail 

has been seen 



he makes me stand in a line against the wall.
they are watching me, eyes,
             the sky.
and i say to myself, 
the sky, the sky. the sky's 
yellow the yellow of youth,
             your heart has no place.


the night's cuckoo is a cuckoo. its cry is a cuckoo.
to be a man, i say, to be any man, so that no woman
             can say, oh no she never, nor ever now. 


i say to myself 
the truth is, i am any man. any woman
             if i may, say, ever once, my eyes were larger,
and my mind more complex,
            but that does not mean i don't love you


you may not hold the sunlight 
but your heart does and so you turn
your back on the earth, 
which is the whole point of your life
in fact

[25000 | 7349.48] loss=0.92 avg=2.06
[25001 | 7350.89] loss=3.17 avg=2.07
[25002 | 7352.30] loss=2.69 avg=2.08
[25003 | 7353.72] loss=1.65 avg=2.07
[25004 | 7355.19] loss=2.54 avg=2.08
[25005 | 7356.73] loss=3.54 avg=2.09
[25006 | 7358.28] loss=2.31 avg=2.09
[25007 | 7359.82] loss=3.55 avg=2.11
[25008 | 7361.36] loss=1.94 avg=2.11
[25009 | 7362.90] loss=2.27 avg=2.11
[25010 | 7364.45] loss=1.36 avg=2.10
[25011 | 7366.00] loss=3.64 avg=2.12
[25012 | 7367.54] loss=3.07 avg=2.12
[25013 | 7369.09] loss=1.48 avg=2.12
[25014 | 7370.64] loss=0.83 avg=2.11
[25015 | 7372.18] loss=1.90 avg=2.10
[25016 | 7373.72] loss=1.91 avg=2.10
[25017 | 7375.26] loss=1.95 avg=2.10
[25018 | 7376.81] loss=0.83 avg=2.09
[25019 | 7378.35] loss=0.48 avg=2.07
[25020 | 7379.89] loss=2.96 avg=2.08
[25021 | 7381.44] loss=1.61 avg=2.08
[25022 | 7382.98] loss=3.90 avg=2.09
[25023 | 7384.53] loss=0.50 avg=2.08
[25024 | 7386.07] loss=3.36 avg=2.09
[25025 | 7387.62] loss=0.48 avg=2.07
[25026 | 7389.16] loss=0.27 avg=2.06
[25027 | 7390.71] loss=4.15 avg=2.08
[25028 | 7392.25] loss=2.69 avg=2.08
[25029 | 7393.80] loss=3.72 avg=2.10
[25030 | 7395.35] loss=2.37 avg=2.10
[25031 | 7396.89] loss=2.68 avg=2.11
[25032 | 7398.44] loss=2.03 avg=2.11
[25033 | 7399.98] loss=1.12 avg=2.10
[25034 | 7401.53] loss=3.84 avg=2.11
[25035 | 7403.08] loss=0.41 avg=2.10
[25036 | 7404.62] loss=3.73 avg=2.11
[25037 | 7406.17] loss=2.85 avg=2.12
[25038 | 7407.71] loss=0.24 avg=2.10
[25039 | 7409.26] loss=0.43 avg=2.09
[25040 | 7410.81] loss=2.78 avg=2.09
[25041 | 7412.35] loss=3.39 avg=2.11
